,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
945,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,13,5.0,10.0
946,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
947,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
948,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,205,,10.0
949,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,459,2.0,10.0
950,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,81,3.0,10.0
951,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,9,5.0,10.0
952,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
953,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
954,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,170,,10.0
955,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,480,2.0,10.0
956,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,91,3.0,10.0
957,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,9,5.0,10.0
958,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
959,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
960,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,193,,10.0
961,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,459,2.0,10.0
962,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,96,3.0,10.0
963,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,15,5.0,10.0
964,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
965,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
966,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,1,,10.0
967,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,461,2.0,10.0
968,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,455,3.0,10.0
969,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,450,5.0,10.0
970,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,66,7.0,10.0
971,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,5,10.0,10.0
972,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,1,,10.0
973,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,462,2.0,10.0
974,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,457,3.0,10.0
975,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,451,5.0,10.0
976,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,62,7.0,10.0
977,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,4,10.0,10.0
978,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,0,,10.0
979,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,460,2.0,10.0
980,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,458,3.0,10.0
981,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,449,5.0,10.0
982,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,58,7.0,10.0
983,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,4,10.0,10.0
984,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,2,,10.0
985,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,455,2.0,10.0
986,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,453,3.0,10.0
987,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,445,5.0,10.0
988,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,68,7.0,10.0
989,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,2,10.0,10.0
990,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,2,,10.0
991,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,460,2.0,10.0
992,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,459,3.0,10.0
993,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,451,5.0,10.0
994,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,59,7.0,10.0
995,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,3,10.0,10.0
996,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,3,,10.0
997,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,461,2.0,10.0
998,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,456,3.0,10.0
999,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,454,5.0,10.0
1000,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,66,7.0,10.0
1001,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,4,10.0,10.0
1002,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,2,,10.0
1003,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,457,2.0,10.0
1004,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,454,3.0,10.0
1005,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,448,5.0,10.0
1006,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,66,7.0,10.0
1007,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,2,10.0,10.0
1008,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,1,,10.0
1009,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,464,2.0,10.0
1010,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,458,3.0,10.0
1011,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,449,5.0,10.0
1012,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,62,7.0,10.0
1013,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,2,10.0,10.0
1014,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,1,,10.0
1015,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,469,2.0,10.0
1016,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,464,3.0,10.0
1017,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,458,5.0,10.0
1018,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,61,7.0,10.0
1019,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,2,10.0,10.0
1020,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,4,,10.0
1021,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,459,2.0,10.0
1022,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,451,3.0,10.0
1023,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,446,5.0,10.0
1024,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,66,7.0,10.0
1025,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,5,10.0,10.0
1026,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,4,,10.0
1027,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,449,2.0,10.0
1028,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,446,3.0,10.0
1029,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,444,5.0,10.0
1030,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,67,7.0,10.0
1031,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,3,10.0,10.0
1032,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,1,,10.0
1033,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,461,2.0,10.0
1034,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,456,3.0,10.0
1035,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,451,5.0,10.0
1036,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,64,7.0,10.0
1037,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,6,10.0,10.0
1038,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,2,,10.0
1039,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,454,2.0,10.0
1040,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,452,3.0,10.0
1041,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,449,5.0,10.0
1042,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,65,7.0,10.0
1043,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,3,10.0,10.0
1044,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,3,,10.0
1045,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,453,2.0,10.0
1046,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,450,3.0,10.0
1047,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,441,5.0,10.0
1048,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,70,7.0,10.0
1049,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,4,10.0,10.0
1050,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,2,,10.0
1051,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,467,2.0,10.0
1052,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,462,3.0,10.0
1053,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,457,5.0,10.0
1054,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,63,7.0,10.0
1055,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,2,10.0,10.0
1056,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,0,,10.0
1057,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,459,2.0,10.0
1058,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,456,3.0,10.0
1059,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,449,5.0,10.0
1060,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,65,7.0,10.0
1061,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,8,10.0,10.0
1062,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,2,,10.0
1063,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,450,2.0,10.0
1064,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,446,3.0,10.0
1065,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,441,5.0,10.0
1066,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,66,7.0,10.0
1067,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,4,10.0,10.0
1068,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,3,,10.0
1069,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,461,2.0,10.0
1070,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,457,3.0,10.0
1071,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,451,5.0,10.0
1072,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,61,7.0,10.0
1073,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,6,10.0,10.0
1074,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Difference,0,,10.0
1075,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.2,458,2.0,10.0
1076,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.3,454,3.0,10.0
1077,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.5,451,5.0,10.0
1078,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 0.7,67,7.0,10.0
1079,Degree size: 0.5 prev:0.5,sponges_networks,Degree networks,0.5,0.5,Intersection 1,5,10.0,10.0
1080,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Difference,1,,10.0
1081,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.2,461,2.0,10.0
1082,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.3,456,3.0,10.0
1083,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.5,451,5.0,10.0
1084,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 0.7,65,7.0,10.0
1085,Random size: 0.5 prev:0.5,sponges_networks,Random networks,0.5,0.5,Intersection 1,7,10.0,10.0
